"id","account","description","category","reference","currency","amount","status","transactionDate","createdAt","updatedAt"
e206619a-6dd2-4cc1-8603-429631d46476,Sydney Beard,sadsad,Another One,,GBP,-23.0,BOOKED,2021-06-22 12:55:26,2021-06-23 17:09:31,2021-06-23 17:09:31
"5afc9e4a-d0c3-438b-a6f6-a10d687b8806",Sydney Beard,RPT4291,Another One,,GBP,-1.0,BOOKED,2021-06-16 17:45:54,2021-06-23 17:09:31,2021-06-23 17:09:31
c6f1c9d8-3b9c-4ed5-ab31-4e816e401e7c,FR Bills,"Cash from Mcconnell, Sierra Z.",Sample,Ref 9869,EUR,57.23,BOOKED,2021-02-21 07:15:17,2021-06-24 17:42:39,2021-07-02 21:57:25
f8765136-7018-45b0-accc-866ee448027c,FR Bills,"Cash from Blackwell, Alisa T.",Sample,Ref 4009,EUR,13.9,BOOKED,2021-02-16 02:18:18,2021-06-24 17:42:39,2021-07-02 21:57:30
"647c600c-5fc6-40d0-8741-8cea68a7ff61",Household,"Cash from Dudley, Meredith R.",Another One,Ref 4682,GBP,304.35,BOOKED,2021-02-19 12:07:48,2021-06-24 17:42:39,2021-06-24 17:42:39
deacfcb5-84fe-4756-946d-d432b2b03c71,Household,"Cash to Puckett, Jameson I.",Another One,Ref 1929,GBP,-487.84,BOOKED,2021-01-02 06:38:50,2021-06-24 17:42:39,2021-06-24 17:42:39
c62c1c92-7a39-48ae-920b-08a43d105a93,Household,"Cash to Brennan, Quentin H.",Another One,Ref 7187,GBP,-498.09,BOOKED,2020-12-03 09:34:44,2021-06-24 17:42:39,2021-06-24 17:42:39
"809b3706-ce6b-4d52-be09-c37f9c869f2d",Household,"Cash from Patel, Brett H.",Sample,Ref 8091,GBP,92.56,BOOKED,2020-10-18 02:41:36,2021-06-24 17:42:39,2021-06-24 17:42:39
"81bb91f8-051e-491d-accf-0e80df11ba13",Sydney Beard,TEST,,,GBP,-1.0,BOOKED,2021-06-23 07:09:58,2021-06-23 17:09:31,2021-06-23 17:09:31
d98cddb7-0a95-4511-8e8a-9ba1b0fb9262,Sydney Beard,RPT4021,,,GBP,-1.0,BOOKED,2021-06-23 06:57:59,2021-06-23 17:09:31,2021-06-23 17:09:31
"8f095d93-b71c-47a2-88be-cda6512ffe7e",Sydney Beard,Bill Payment Bafik,,,GBP,-40.0,BOOKED,2021-06-16 16:55:28,2021-06-23 17:09:31,2021-06-23 17:09:31
